37,Забали каждый раз обновлять уже придумайте чтонибудь нормальное и оставьте,1
38,В разделе на карте появились какието 2 прямоугольника с кругом и двумя параллельными полосами по которым постоянно бежит световая волна Никакой информации на них нет Это вообще что,2
39,Кнопка связь с банком не работает С менеджером через чат связаться не возможно  только бот На звонок отвечают оператор долго Ожидание не менее 15 минут И куда делась функция позвонить при помощи интернета,1
40,Обновление данных по карте внутри приложения происходит только перезапуском Раздражает,1
41,Пришло смс забрать карту прихожу и что я вижу Очередь на 2 часа мы в каком году живм В общем от услуг вашего банка я отказываюсь,1
42,Как через ваше чудесное приложение оплатить Гос пошлину Если приложение не дат,0
43,Начала обновлять приложение и два дня уже нет результата не могу в него войти тк стоит на обновлении,0
44,Супер  Удобное и стильное приложение,0
45,Приложение удобное а банк отстойный Когдато померещилась перспектива что банк движется в правильном направлении но именно что померещилось А приложение на 2020 год уже ничем не отличается от остальных приличных банковских приложений,0
46,Обновляется только после захода в уведомления Исправьте,1
47,С каждым обновлением мобильное приложение становится все хуже Ответствует возможность скрыть умышленнонавязанную рекламу  на главном экране Прошу исправить данную ситуацию,0
48,Такое ощущение что разработчики не прислушиваются к проблемам а скидывают вс на пользователя Вылетает  переустановите Не заходит  используйте wifi Медленно загружается  поменяйте телефон  Просили вас неоднократно сделать кнопку для сворачивания этих ваших историй и остальной ненужной ерунды Где она Сами же пишите что прислушиваетесь а выходит что нет Зачем на главную страницу выносить банкоматы и отделения если он доступен на окне входа да и вс равно он не работает Гдето вы там ответили что через ваши диалоги можно сказать спасибо за перевод Зачем После перевода приходит сообщение о зачислении и пользователь зайдт в любой мессенджер и скажет спасибо там а не будет ждать по несколько минут пока ваше приложение отдуплиться и загрузиться Или вы не знаете о мессенджерах тк по корп политике вы только в сберонлайн общаетесь Складывается именно такое ощущение Ещ раз прошу сделать кнопку для сворачивания историй и остальных многим ненужных  кнопочек Кому надо он оставит их открытыми Сделайте статический фон при входе Без анимаций и всяких там доп загружаемых картинок Решите уже наконец эту бесящую проблему с 1 в диалогах Нет у меня там новых сообщений Хочу напомнить вам что вы делаете БАНККЛИЕНТ а не медиакомбайн с блэкджеком ну и знаете с чем ещ Сделайте лайт версию для людей которым кроме банковских операций больше ничего не надо Для общения есть соц сети и мессенджеры для историй есть новостные ленты и те же соц сети Спасибо и надеюсь на понимание,0
49,Когда захожу на страницу какоголибо перевода то на экране отображается зелный экран с галочкой и надпись Переведено Если в режиме тмной темы на этом экране свайпнуть вверх то есть попробовать развернуть зелный экран вверху ещ появится значок загрузки то экран станет мигать как светофор это дико бесит,2
50,Очень удобное приложение Без лаж,4
51,Приложение не сохраняет карты других банков,0
52,Вы уже не знаете как деньги сосать с людей и придумали подписку,1
53,Виджет не обновляется,1
54,Кто и почему установил лимит на переводы 8 тысяч в сутки Если у меня нет личного кабинета а мне нужно срочно перевести с Карты 15 тысяч Очень неудобно и бесит ваш лимит,4
55,Пожалуйста увеличьте лимит месячных переводов в приложении  с 50 тыс до 100 тыс  хотя бы Это же просто издевательство над народом  между клиентами в одном банке если даже переводы делать  то удерживают процент,2
56,Разработчики молодцы Приложение достойное Но вот банк полное дно Сначала ввели подписку либо комиссию за перевод Теперь хотят абонентку за пуш уведомления Разработчикам Банку ,0
57,Почему я не могу сегодня целый день зайти в программу Исправьте пожалуйста С интернетом все норм,1
58,Сделайте приложение меньшим размером Требуется подключение к WiFi так как файл весит более 200 мб,0
59,Забили рекламой хорошее приложение Отключить невозможно Скоро еду и доставку добавят на весь экран,0
60,В условиях пандемии ввести комиссию говорит о том что банк не клиентоориентирован,1
61,Отличное приложение  но не надо смотреть на желтый банк Сторисы в мобильном банке никак не нужны а если и нужны то очень узкому кругу людей Добавьте возможность закрыть банер со сторисами в Сбербанке ,4
62,Реализуйте пожалуйста отображение времени которое задано в телефоне А то в системе установлен 12часовой формат а у вас всегда 24часовой Неудобно,1
63,Все на высшем уровне спасибо,1
64,С каждым днм прога все лучше и лучше Ребята вы молодцыСтало проще ориентироваться в нем и интерфейс гораздо приятнее стал,1
65,Не работает на айфоне без Touch ID,1
66,Невозможно скачать приложение с новым обновлением через мобильный интернет,0
67,Приложение платное Есть списания за чтото,0
68,На IPhone 11 перестал обновляться виджет показа денежных средств на карте При оплате любой услуги сумма не обновляется,1
69,После обновления ничего не работает  то месенджер и перевод денег все выжные функции НЕ РАБОТАЮТ  исправьте как можно быстрее,3
